Conf,Title,Link
AAAI2020,Efficient Spatial-Temporal Rebalancing of Shareable Bikes (Student Abstract).,https://aaai.org/ojs/index.php/AAAI/article/view/7159
AAAI2020,ElixirNet - Relation-Aware Network Architecture Adaptation for Medical Lesion Detection.,https://aaai.org/ojs/index.php/AAAI/article/view/6765
AAAI2020,FD-GAN - Generative Adversarial Networks with Fusion-Discriminator for Single Image Dehazing.,https://aaai.org/ojs/index.php/AAAI/article/view/6701
AAAI2020,Fact-Aware Sentence Split and Rephrase with Permutation Invariant Training.,https://aaai.org/ojs/index.php/AAAI/article/view/6291
AAAI2020,Fair Division Through Information Withholding.,https://aaai.org/ojs/index.php/AAAI/article/view/5573
AAAI2020,Fair Division of Mixed Divisible and Indivisible Goods.,https://aaai.org/ojs/index.php/AAAI/article/view/5548
AAAI2020,Fair Procedures for Fair Stable Marriage Outcomes.,https://aaai.org/ojs/index.php/AAAI/article/view/6218
AAAI2020,Fair Updates in Two-Sided Market Platforms - On Incrementally Updating Recommendations.,https://aaai.org/ojs/index.php/AAAI/article/view/5349
AAAI2020,Fairness Does Not Imply Satisfaction (Student Abstract).,https://aaai.org/ojs/index.php/AAAI/article/view/7228
AAAI2020,Fairness for Robust Log Loss Classification.,https://aaai.org/ojs/index.php/AAAI/article/view/6002
AAAI2020,Fairness in Network Representation by Latent Structural Heterogeneity in Observational Data.,https://aaai.org/ojs/index.php/AAAI/article/view/5792
AAAI2020,Fairness-Aware Demand Prediction for New Mobility.,https://aaai.org/ojs/index.php/AAAI/article/view/5458
AAAI2020,FairyTED - A Fair Rating Predictor for TED Talk Data.,https://aaai.org/ojs/index.php/AAAI/article/view/5368
AAAI2020,Faking Fairness via Stealthily Biased Sampling.,https://aaai.org/ojs/index.php/AAAI/article/view/5377
AAAI2020,Fatigue-Aware Bandits for Dependent Click Models.,https://aaai.org/ojs/index.php/AAAI/article/view/5735
AAAI2020,FuzzE - Fuzzy Fairness Evaluation of Offensive Language Classifiers on African-American English.,https://aaai.org/ojs/index.php/AAAI/article/view/5434
AAAI2020,GRACE - Generating Summary Reports Automatically for Cognitive Assistance in Emergency Response.,https://aaai.org/ojs/index.php/AAAI/article/view/7049
AAAI2020,Generative-Discriminative Complementary Learning.,https://aaai.org/ojs/index.php/AAAI/article/view/6126
AAAI2020,Geospatial Clustering for Balanced and Proximal Schools.,https://aaai.org/ojs/index.php/AAAI/article/view/7058
AAAI2020,Global Context-Aware Progressive Aggregation Network for Salient Object Detection.,https://aaai.org/ojs/index.php/AAAI/article/view/6633
AAAI2020,Gradient-Aware Model-Based Policy Search.,https://aaai.org/ojs/index.php/AAAI/article/view/5791
AAAI2020,Graduate Employment Prediction with Bias.,https://aaai.org/ojs/index.php/AAAI/article/view/5408
AAAI2020,HAMNER - Headword Amplified Multi-Span Distantly Supervised Method for Domain Specific Named Entity Recognition.,https://aaai.org/ojs/index.php/AAAI/article/view/6358
AAAI2020,HARK - Harshness-Aware Sentiment Analysis Framework for Product Review (Student Abstract).,https://aaai.org/ojs/index.php/AAAI/article/view/7269
AAAI2020,"Hindi-English Hate Speech Detection - Author Profiling, Debiasing, and Practical Perspectives.",https://aaai.org/ojs/index.php/AAAI/article/view/5374
AAAI2020,Image Cropping with Composition and Saliency Aware Aesthetic Score Map.,https://aaai.org/ojs/index.php/AAAI/article/view/6889
AAAI2020,Importance-Aware Learning for Neural Headline Editing.,https://aaai.org/ojs/index.php/AAAI/article/view/6467
AAAI2020,Importance-Aware Semantic Segmentation in Self-Driving with Discrete Wasserstein Training.,https://aaai.org/ojs/index.php/AAAI/article/view/6831
AAAI2020,Improving Context-Aware Neural Machine Translation Using Self-Attentive Sentence Embedding.,https://aaai.org/ojs/index.php/AAAI/article/view/6494
AAAI2020,Improving Knowledge-Aware Dialogue Generation via Knowledge Base Question Answering.,https://aaai.org/ojs/index.php/AAAI/article/view/6453
AAAI2020,InstaNAS - Instance-Aware Neural Architecture Search.,https://aaai.org/ojs/index.php/AAAI/article/view/5764
AAAI2020,LTLƒ Synthesis with Fairness and Stability Assumptions.,https://aaai.org/ojs/index.php/AAAI/article/view/5704
AAAI2020,Learning Fair Naive Bayes Classifiers by Discovering and Eliminating Discrimination Patterns.,https://aaai.org/ojs/index.php/AAAI/article/view/6565
AAAI2020,Learning Hierarchy-Aware Knowledge Graph Embeddings for Link Prediction.,https://aaai.org/ojs/index.php/AAAI/article/view/5701
AAAI2020,Learning Light Field Angular Super-Resolution via a Geometry-Aware Network.,https://aaai.org/ojs/index.php/AAAI/article/view/6771
AAAI2020,Learning Part Generation and Assembly for Structure-Aware Shape Synthesis.,https://aaai.org/ojs/index.php/AAAI/article/view/6798
AAAI2020,Learning to Select Bi-Aspect Information for Document-Scale Text Content Manipulation.,https://aaai.org/ojs/index.php/AAAI/article/view/6274
AAAI2020,Literature Mining for Incorporating Inductive Bias in Biomedical Prediction Tasks (Student Abstract).,https://aaai.org/ojs/index.php/AAAI/article/view/7264
AAAI2020,Location-Aware Graph Convolutional Networks for Video Question Answering.,https://aaai.org/ojs/index.php/AAAI/article/view/6737
AAAI2020,"Making Existing Clusterings Fairer - Algorithms, Complexity Results and Insights.",https://aaai.org/ojs/index.php/AAAI/article/view/5783
AAAI2020,Modality-Balanced Models for Visual Dialogue.,https://aaai.org/ojs/index.php/AAAI/article/view/6320
AAAI2020,Multimodal Interaction-Aware Trajectory Prediction in Crowded Space.,https://aaai.org/ojs/index.php/AAAI/article/view/6874
AAAI2020,On Measuring and Mitigating Biased Inferences of Word Embeddings.,https://aaai.org/ojs/index.php/AAAI/article/view/6267
AAAI2020,On the Max-Min Fair Stochastic Allocation of Indivisible Goods.,https://aaai.org/ojs/index.php/AAAI/article/view/5580
AAAI2020,On the Robustness of Face Recognition Algorithms Against Attacks and Bias.,https://aaai.org/ojs/index.php/AAAI/article/view/7085
AAAI2020,Online Fair Division - A Survey.,https://aaai.org/ojs/index.php/AAAI/article/view/7081
AAAI2020,Order Matters - Semantic-Aware Neural Networks for Binary Code Similarity Detection.,https://aaai.org/ojs/index.php/AAAI/article/view/5466
