,,Overall (%),,,,,Per-class (%),,,,
Technique,Metric,Mean,Max,Min,MaxDiff,STDEV,Mean,Max,Min,MaxDiff,STDEV
,FPSF,<0.1,<0.1,<0.1,<0.1,<0.1,0.2,0.3,0.1,0.2,<0.1
,EOFP,0.1,0.2,0.1,<0.1,<0.1,0.5,0.6,0.2,0.4,<0.1
,EOTP,1.0,1.2,0.7,0.5,0.1,2.6,3.4,1.4,2.0,0.5
,BA,0.5,0.6,0.3,0.3,<0.1,0.6,1.1,<0.1,1.1,0.3
C-Base,DP,1.4,1.5,1.4,<0.1,<0.1,3.3,4.5,2.9,1.6,0.5
,DI bar,48.6,50.2,47.5,2.6,0.8,45.8,100.0,0.0,100.0,38.9
,SPSF,0.7,0.7,0.7,<0.1,<0.1,1.7,2.2,1.4,0.8,0.3
,FPSF,0.2,0.2,0.2,<0.1,<0.1,0.7,1.1,0.6,0.5,0.2
,EOFP,0.4,0.4,0.3,<0.1,<0.1,1.0,1.8,0.7,1.1,0.4
,EOTP,13.1,14.0,12.0,1.9,0.6,26.0,50.0,16.7,33.3,11.7
,BA,4.7,5.2,3.8,1.4,0.4,2.1,33.3,0.0,33.3,8.1
C-R1,DP,1.2,1.2,1.2,<0.1,<0.1,5.1,5.8,4.8,1.0,0.3
,DI bar,46.3,46.9,45.9,1.0,0.3,40.6,50.0,0.0,50.0,19.5
,SPSF,0.6,0.6,0.6,<0.1,<0.1,2.5,2.9,2.4,0.5,0.2
,FPSF,0.3,0.3,0.3,<0.1,<0.1,1.6,1.9,1.5,0.4,0.1
,EOFP,0.6,0.6,0.6,<0.1,<0.1,1.0,1.7,0.8,0.9,0.3
,EOTP,10.4,10.6,10.1,0.5,0.1,6.9,36.6,0.0,36.6,14.3
,BA,8.7,9.0,8.6,0.4,<0.1,40.8,50.0,0.9,49.1,19.0
C-R2,DP,1.3,1.3,1.2,<0.1,<0.1,2.2,2.7,1.7,1.0,0.3
,DI bar,46.6,48.1,45.4,2.8,0.8,29.9,62.5,0.0,62.5,21.1
,SPSF,0.6,0.6,0.6,<0.1,<0.1,1.1,1.4,0.9,0.5,0.2
,FPSF,0.2,0.2,0.2,<0.1,<0.1,1.0,1.3,0.7,0.5,0.2
,EOFP,0.4,0.4,0.4,<0.1,<0.1,2.2,2.7,1.6,1.1,0.4
,EOTP,11.5,11.8,11.0,0.7,0.2,11.5,22.2,2.8,19.4,7.5
,BA,8.2,9.4,7.6,1.8,0.7,29.8,100.0,1.0,99.0,41.2
C-R3,DP,1.3,1.4,1.3,<0.1,<0.1,3.7,4.9,2.8,2.1,0.8
,DI bar,51.7,53.4,49.7,3.7,1.1,51.5,100.0,0.0,100.0,29.9
,SPSF,0.7,0.7,0.7,<0.1,<0.1,1.8,2.4,1.4,1.0,0.4
,FPSF,0.2,0.2,0.2,<0.1,<0.1,0.7,1.0,0.4,0.6,0.2
,EOFP,0.4,0.4,0.4,<0.1,<0.1,1.5,2.2,0.9,1.3,0.5
,EOTP,11.5,12.6,10.9,1.7,0.5,11.2,27.7,4.2,23.5,8.4
,BA,7.6,8.3,6.9,1.4,0.3,16.1,43.8,3.8,40.0,11.0
C-A4,DP,1.2,1.2,1.2,<0.1,<0.1,0.8,1.5,0.1,1.4,0.3
,DI bar,49.3,50.9,47.2,3.7,0.8,50.0,100.0,0.0,100.0,22.8
,SPSF,0.6,0.6,0.6,<0.1,<0.1,0.4,0.8,<0.1,0.7,0.2
,FPSF,0.2,0.2,0.1,<0.1,<0.1,0.5,0.7,0.2,0.5,0.1
,EOFP,0.3,0.4,0.3,<0.1,<0.1,0.9,1.2,0.0,1.2,0.3
,EOTP,12.1,12.7,11.3,1.4,0.4,9.2,32.4,1.5,30.9,9.9
,BA,7.8,8.6,6.8,1.8,0.5,50.4,66.7,0.7,66.0,28.2
C-A5,DP,1.1,1.1,1.0,0.1,<0.1,3.2,5.1,1.5,3.7,0.9
,DI bar,47.0,48.7,46.2,2.4,0.6,55.7,100.0,0.0,100.0,28.2
,SPSF,0.5,0.6,0.5,<0.1,<0.1,1.6,2.6,0.7,1.8,0.4
,FPSF,0.1,0.2,0.1,<0.1,<0.1,1.0,1.5,0.6,1.0,0.2
,EOFP,0.3,0.3,0.3,<0.1,<0.1,2.1,3.3,1.2,2.1,0.5
,EOTP,12.4,14.1,11.5,2.6,0.6,22.5,44.7,0.8,43.9,10.8
,BA,7.5,9.2,6.1,3.1,0.8,21.9,66.7,1.2,65.4,21.8
I-Base,DP,0.4,0.4,0.4,<0.1,<0.1,0.8,1.0,0.5,0.6,0.2
,DI bar,52.1,52.6,51.9,0.8,0.2,38.0,70.0,11.1,58.9,22.6
,SPSF,0.2,0.2,0.2,<0.1,<0.1,0.4,0.5,0.2,0.3,0.1
,FPSF,0.1,0.1,0.1,<0.1,<0.1,0.3,0.4,0.2,0.3,<0.1
,EOFP,0.2,0.2,0.2,<0.1,<0.1,0.3,0.6,0.0,0.6,0.2
,EOTP,16.7,16.9,16.5,0.4,0.1,48.1,59.3,18.5,40.7,14.6
,BA,10.2,10.4,9.8,0.7,0.2,7.5,19.4,0.3,19.0,8.1
I-R1,DP,0.3,0.3,0.3,<0.1,<0.1,0.4,0.5,0.1,0.4,<0.1
,DI bar,46.7,47.2,46.3,0.9,0.3,21.4,50.0,0.0,50.0,14.8
,SPSF,0.2,0.2,0.2,<0.1,<0.1,0.2,0.3,<0.1,0.2,<0.1
,FPSF,<0.1,<0.1,<0.1,<0.1,<0.1,0.2,0.3,<0.1,0.2,<0.1
,EOFP,0.2,0.2,0.2,<0.1,<0.1,0.4,0.5,0.1,0.4,<0.1
,EOTP,12.9,13.4,12.2,1.2,0.3,46.9,50.0,0.0,50.0,12.1
,BA,11.8,12.0,11.6,0.5,0.1,10.3,28.3,5.0,23.3,9.4
I-R2,DP,0.3,0.3,0.3,<0.1,<0.1,0.1,0.2,0.0,0.2,<0.1
,DI bar,49.1,49.5,48.8,0.7,0.2,12.0,30.0,0.0,30.0,8.1
,SPSF,0.2,0.2,0.2,<0.1,<0.1,<0.1,0.1,0.0,0.1,<0.1
